Identifier	SAMPLE TYPE	EXPERIMENT	Q_SECONDARY_NAME	PARENT	Q_PRIMARY_TISSUE	Q_TISSUE_DETAILED	Q_ADDITIONAL_INFO	Q_NCBI_ORGANISM	Q_EXTERNALDB_ID	Condition: genotype	Condition: tissue
QMOUSENTITY-1	Q_BIOLOGICAL_ENTITY	QMOUSE1	Knockout					10090		Knockout	
QMOUSENTITY-2	Q_BIOLOGICAL_ENTITY	QMOUSE1	Knockout					10090		Knockout	
QMOUSENTITY-3	Q_BIOLOGICAL_ENTITY	QMOUSE1	Knockout					10090		Knockout	
QMOUSENTITY-4	Q_BIOLOGICAL_ENTITY	QMOUSE1	Knockout					10090		Knockout	
QMOUSENTITY-5	Q_BIOLOGICAL_ENTITY	QMOUSE1	Knockout					10090		Knockout	
QMOUSENTITY-6	Q_BIOLOGICAL_ENTITY	QMOUSE1	Knockout					10090		Knockout	
QMOUSENTITY-7	Q_BIOLOGICAL_ENTITY	QMOUSE1	Knockout					10090		Knockout	
QMOUSENTITY-8	Q_BIOLOGICAL_ENTITY	QMOUSE1	Knockout					10090		Knockout	
QMOUSENTITY-9	Q_BIOLOGICAL_ENTITY	QMOUSE1	Knockout					10090		Knockout	
QMOUSENTITY-10	Q_BIOLOGICAL_ENTITY	QMOUSE1	Knockout					10090		Knockout	
QMOUSENTITY-11	Q_BIOLOGICAL_ENTITY	QMOUSE1	Wildtype					10090		Wildtype	
QMOUSENTITY-12	Q_BIOLOGICAL_ENTITY	QMOUSE1	Wildtype					10090		Wildtype	
QMOUSENTITY-13	Q_BIOLOGICAL_ENTITY	QMOUSE1	Wildtype					10090		Wildtype	
QMOUSENTITY-14	Q_BIOLOGICAL_ENTITY	QMOUSE1	Wildtype					10090		Wildtype	
QMOUSENTITY-15	Q_BIOLOGICAL_ENTITY	QMOUSE1	Wildtype					10090		Wildtype	
QMOUSENTITY-16	Q_BIOLOGICAL_ENTITY	QMOUSE1	Wildtype					10090		Wildtype	
QMOUSENTITY-17	Q_BIOLOGICAL_ENTITY	QMOUSE1	Wildtype					10090		Wildtype	
QMOUSENTITY-18	Q_BIOLOGICAL_ENTITY	QMOUSE1	Wildtype					10090		Wildtype	
QMOUSENTITY-19	Q_BIOLOGICAL_ENTITY	QMOUSE1	Wildtype					10090		Wildtype	
QMOUSENTITY-20	Q_BIOLOGICAL_ENTITY	QMOUSE1	Wildtype					10090		Wildtype	
QMOUS001A6	Q_BIOLOGICAL_SAMPLE	QMOUSE2	Knockout ; Liver	QMOUSENTITY-1	LIVER					Knockout	Liver
QMOUS002AE	Q_BIOLOGICAL_SAMPLE	QMOUSE2	Knockout ; Kidneys	QMOUSENTITY-1	KIDNEYS					Knockout	Kidneys
QMOUS003AM	Q_BIOLOGICAL_SAMPLE	QMOUSE2	Knockout ; Liver	QMOUSENTITY-2	LIVER					Knockout	Liver
QMOUS004AU	Q_BIOLOGICAL_SAMPLE	QMOUSE2	Knockout ; Kidneys	QMOUSENTITY-2	KIDNEYS					Knockout	Kidneys
QMOUS005A4	Q_BIOLOGICAL_SAMPLE	QMOUSE2	Knockout ; Liver	QMOUSENTITY-3	LIVER					Knockout	Liver
QMOUS006AC	Q_BIOLOGICAL_SAMPLE	QMOUSE2	Knockout ; Kidneys	QMOUSENTITY-3	KIDNEYS					Knockout	Kidneys
QMOUS007AK	Q_BIOLOGICAL_SAMPLE	QMOUSE2	Knockout ; Liver	QMOUSENTITY-4	LIVER					Knockout	Liver
QMOUS008AS	Q_BIOLOGICAL_SAMPLE	QMOUSE2	Knockout ; Kidneys	QMOUSENTITY-4	KIDNEYS					Knockout	Kidneys
QMOUS009A2	Q_BIOLOGICAL_SAMPLE	QMOUSE2	Knockout ; Liver	QMOUSENTITY-5	LIVER					Knockout	Liver
QMOUS010A5	Q_BIOLOGICAL_SAMPLE	QMOUSE2	Knockout ; Kidneys	QMOUSENTITY-5	KIDNEYS					Knockout	Kidneys
QMOUS011AD	Q_BIOLOGICAL_SAMPLE	QMOUSE2	Knockout ; Liver	QMOUSENTITY-6	LIVER					Knockout	Liver
QMOUS012AL	Q_BIOLOGICAL_SAMPLE	QMOUSE2	Knockout ; Kidneys	QMOUSENTITY-6	KIDNEYS					Knockout	Kidneys
QMOUS013AT	Q_BIOLOGICAL_SAMPLE	QMOUSE2	Knockout ; Liver	QMOUSENTITY-7	LIVER					Knockout	Liver
QMOUS014A3	Q_BIOLOGICAL_SAMPLE	QMOUSE2	Knockout ; Kidneys	QMOUSENTITY-7	KIDNEYS					Knockout	Kidneys
QMOUS015AB	Q_BIOLOGICAL_SAMPLE	QMOUSE2	Knockout ; Liver	QMOUSENTITY-8	LIVER					Knockout	Liver
QMOUS016AJ	Q_BIOLOGICAL_SAMPLE	QMOUSE2	Knockout ; Kidneys	QMOUSENTITY-8	KIDNEYS					Knockout	Kidneys
QMOUS017AR	Q_BIOLOGICAL_SAMPLE	QMOUSE2	Knockout ; Liver	QMOUSENTITY-9	LIVER					Knockout	Liver
QMOUS018A1	Q_BIOLOGICAL_SAMPLE	QMOUSE2	Knockout ; Kidneys	QMOUSENTITY-9	KIDNEYS					Knockout	Kidneys
QMOUS019A9	Q_BIOLOGICAL_SAMPLE	QMOUSE2	Knockout ; Liver	QMOUSENTITY-10	LIVER					Knockout	Liver
QMOUS020AC	Q_BIOLOGICAL_SAMPLE	QMOUSE2	Knockout ; Kidneys	QMOUSENTITY-10	KIDNEYS					Knockout	Kidneys
QMOUS021AK	Q_BIOLOGICAL_SAMPLE	QMOUSE2	Wildtype ; Liver	QMOUSENTITY-11	LIVER					Wildtype	Liver
QMOUS022AS	Q_BIOLOGICAL_SAMPLE	QMOUSE2	Wildtype ; Kidneys	QMOUSENTITY-11	KIDNEYS					Wildtype	Kidneys
QMOUS023A2	Q_BIOLOGICAL_SAMPLE	QMOUSE2	Wildtype ; Liver	QMOUSENTITY-12	LIVER					Wildtype	Liver
QMOUS024AA	Q_BIOLOGICAL_SAMPLE	QMOUSE2	Wildtype ; Kidneys	QMOUSENTITY-12	KIDNEYS					Wildtype	Kidneys
QMOUS025AI	Q_BIOLOGICAL_SAMPLE	QMOUSE2	Wildtype ; Liver	QMOUSENTITY-13	LIVER					Wildtype	Liver
QMOUS026AQ	Q_BIOLOGICAL_SAMPLE	QMOUSE2	Wildtype ; Kidneys	QMOUSENTITY-13	KIDNEYS					Wildtype	Kidneys
QMOUS027A0	Q_BIOLOGICAL_SAMPLE	QMOUSE2	Wildtype ; Liver	QMOUSENTITY-14	LIVER					Wildtype	Liver
QMOUS028A8	Q_BIOLOGICAL_SAMPLE	QMOUSE2	Wildtype ; Kidneys	QMOUSENTITY-14	KIDNEYS					Wildtype	Kidneys
QMOUS029AG	Q_BIOLOGICAL_SAMPLE	QMOUSE2	Wildtype ; Liver	QMOUSENTITY-15	LIVER					Wildtype	Liver
QMOUS030AJ	Q_BIOLOGICAL_SAMPLE	QMOUSE2	Wildtype ; Kidneys	QMOUSENTITY-15	KIDNEYS					Wildtype	Kidneys
QMOUS031AR	Q_BIOLOGICAL_SAMPLE	QMOUSE2	Wildtype ; Liver	QMOUSENTITY-16	LIVER					Wildtype	Liver
QMOUS032A1	Q_BIOLOGICAL_SAMPLE	QMOUSE2	Wildtype ; Kidneys	QMOUSENTITY-16	KIDNEYS					Wildtype	Kidneys
QMOUS033A9	Q_BIOLOGICAL_SAMPLE	QMOUSE2	Wildtype ; Liver	QMOUSENTITY-17	LIVER					Wildtype	Liver
QMOUS034AH	Q_BIOLOGICAL_SAMPLE	QMOUSE2	Wildtype ; Kidneys	QMOUSENTITY-17	KIDNEYS					Wildtype	Kidneys
QMOUS035AP	Q_BIOLOGICAL_SAMPLE	QMOUSE2	Wildtype ; Liver	QMOUSENTITY-18	LIVER					Wildtype	Liver
QMOUS036AX	Q_BIOLOGICAL_SAMPLE	QMOUSE2	Wildtype ; Kidneys	QMOUSENTITY-18	KIDNEYS					Wildtype	Kidneys
QMOUS037A7	Q_BIOLOGICAL_SAMPLE	QMOUSE2	Wildtype ; Liver	QMOUSENTITY-19	LIVER					Wildtype	Liver
QMOUS038AF	Q_BIOLOGICAL_SAMPLE	QMOUSE2	Wildtype ; Kidneys	QMOUSENTITY-19	KIDNEYS					Wildtype	Kidneys
QMOUS039AN	Q_BIOLOGICAL_SAMPLE	QMOUSE2	Wildtype ; Liver	QMOUSENTITY-20	LIVER					Wildtype	Liver
QMOUS040AQ	Q_BIOLOGICAL_SAMPLE	QMOUSE2	Wildtype ; Kidneys	QMOUSENTITY-20	KIDNEYS					Wildtype	Kidneys
